layer_number,layer_type,class_1,class_2,prob_1,prob_2,prob_diff,question
2,MISSION_TYPE,Exercise,Combat,0.43,0.31,0.12,"Is this operation primarily focused on achieving training objectives and scenario complexity, rather than engaging in a tactical situation or combat readiness against a present threat? (Yes/No)?"
4,LEVEL,Ship,Fleet,0.5,0.35,0.15000000000000002,Is this entity a singular Naval Vessel (Ship) or a coordinated group of Naval Vessels operating together as a Naval Unit (Fleet)?
7,FROM,Fleet,Ships,0.51,0.4,0.10999999999999999,"Is this specific entity a fleet, as defined by its strategic command structure and operational area, rather than an individual ship or vessel?"
8,TASK_OBJECTIVE,Interrogation,Interception,0.54,0.52,0.020000000000000018,Is this operation primarily designed to gather information (Interrogation) or to intercept and seize enemy vessels or communications (Interception)?
8,TASK_OBJECTIVE,Interrogation,Navigation,0.54,0.5,0.040000000000000036,"Is this inquiry related to the detection or identification of enemy ships, submarines, or aircraft, as opposed to navigation-based information such as determining a course, estimating time of arrival at a certain location, or charting a safe route? (Interrogation vs. Navigation)?"
8,TASK_OBJECTIVE,Interrogation,Communication,0.54,0.48,0.06000000000000005,Is this information intended to obtain specific details about naval operation procedures or is it for general communication and coordination purposes?
8,TASK_OBJECTIVE,Interception,Navigation,0.52,0.5,0.020000000000000018,"Is this operation primarily concerned with locating and engaging enemy naval vessels (interception), or is it focused on charting, plotting, and navigating a course for friendly ships (navigation)?"
8,TASK_OBJECTIVE,Interception,Communication,0.52,0.48,0.040000000000000036,"Is this operation primarily designed to physically intercept enemy vessels or to establish, maintain, and use communication networks within our naval force?"
8,TASK_OBJECTIVE,Navigation,Communication,0.5,0.48,0.020000000000000018,"Is this operation primarily concerned with determining and maintaining the position of a naval vessel (Navigation), or is it focused on transmitting, receiving, or processing signals between naval vessels or between naval vessels and shore stations (Communication)?"
9,CONSTRAINTS,Balancing loads,Activity sequences,0.33,0.31,0.020000000000000018,"In the context of naval operations, does the sequence of activities primarily focus on the resource distribution and operational demands to ensure the balance of loads (yes/no)?"
9,CONSTRAINTS,Balancing loads,Time constraints,0.33,0.3,0.030000000000000027,"Is the given naval operation more about ensuring proper distribution of resources and adherence to capacity limits (balancing loads), or does it primarily involve meeting specific time deadlines for mission execution (time constraints)?"
9,CONSTRAINTS,Balancing loads,Resource allocation,0.33,0.29,0.040000000000000036,"Is the operation focused on ensuring optimal distribution of resources based on operational demands and capacity limits to balance the loads within a naval vessel or fleet, rather than managing resource allocation in terms of assigning specific materials, personnel, or assets for a particular task?"
9,CONSTRAINTS,Activity sequences,Time constraints,0.31,0.3,0.010000000000000009,"In naval operations, does the term ""Activity sequence"" refer to the timing or sequencing of specific actions within an operation, or is it related to the dependency between different sequences of actions in a mission?"
9,CONSTRAINTS,Activity sequences,Resource allocation,0.31,0.29,0.020000000000000018,"Is the following statement related to the sequencing or scheduling of specific naval operations (e.g., patrol, escort, supply) and their dependencies, or is it concerned with the allocation of naval resources such as ships, aircraft, or personnel? For instance, ""Does this information detail when and in what order a group of destroyers will conduct anti-submarine warfare operations?"" vs. ""Is this data about how many destroyers are assigned to perform anti-submarine warfare duties at any given time?""?"
9,CONSTRAINTS,Time constraints,Resource allocation,0.3,0.29,0.010000000000000009,"Is the operation under discussion subject to restrictions based on the availability of specific resources (yes/no), as opposed to limitations in terms of time for mission execution?"
10,OBJECTIVE,Maximum conformance,Minimum deviation,0.44,0.42,0.020000000000000018,"In a naval operation, does strict adherence to compliance requirements and protocols distinguish the approach from one that allows for minimal deviation?"
10,OBJECTIVE,Maximum conformance,Optimal performance,0.44,0.41,0.030000000000000027,"Is the naval operation fully adhering to all compliance requirements and protocols, ensuring maximum conformance, or is it also achieving optimal performance beyond standard adherence? (Yes/No)?"
10,OBJECTIVE,Maximum conformance,Cost efficiency,0.44,0.4,0.03999999999999998,"Is the primary focus of this naval operation to ensure compliance with all relevant regulations and protocols (Maximum conformance), or is it to minimize costs regardless of regulatory adherence (Cost efficiency)?"
10,OBJECTIVE,Minimum deviation,Optimal performance,0.42,0.41,0.010000000000000009,"In a naval operation, does achieving minimum deviation from a planned course necessarily guarantee optimal performance, such as maximum speed or minimal fuel consumption? (Answer: No)?"
10,OBJECTIVE,Minimum deviation,Cost efficiency,0.42,0.4,0.019999999999999962,"In the context of naval operations, does a minimum deviation strategy primarily focus on optimizing cost efficiency?"
10,OBJECTIVE,Optimal performance,Cost efficiency,0.41,0.4,0.009999999999999953,"In a naval operation scenario, does achieving optimal performance primarily focus on improving combat readiness and maneuverability, while cost efficiency primarily focuses on minimizing operational expenditure and resource utilization? (Yes/No)?"
