Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"Condition-based checks have been carried out on various pumps and gas turbines while INS Vikrant is in operation, with several reading up to the warning threshold at some points. The ship is scheduled to leave service within 36 hours or 10 days, but it is essential to replace these shock mounts as this will affect mission reliability (0.92).",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Only 2 fire control systems are required for the next 20 hours of the mission when cruising, and according to load management rules: 1 forward fire controller and 1 aft (n) receiver should be in service; the best combination is found to have 0.9 reliability with risk score not exceeding 7/18; where multiple suitable firecontrol systems exist, attempts are made to balance their operating durations.",Mission,Fleet,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"Ship ABC, currently in its operational cycle, has initiated condition-based inspections on shock mounts for various pumps and gas turbines. A few shock mounts are nearing the warning threshold. The ship is set to sail within the next 48 hours for a 7-day operation. Replacement of these shock mounts is essential to uphold mission reliability at 0.9.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"While INS Shivalik is in the process of operating, it has carried out detailed condition-based inspections on various shock mounts for pumps and gas turbines. Some readings are steadily approaching the warning threshold, and the ship is scheduled to sail within 33 hours for an operational duration of 5 days. These repairs are necessary to maintain mission reliability at 0.93.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Condition-based inspections have been conducted by INS Delhi on various pumps and gas turbine, with several shock mount readings approaching the warning threshold. The ship is expected to sail within 72 hours and for an operational period of 5 days. To maintain mission reliability at 0.88, these shock mountings must be replaced.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"A reconnaissance vessel is detected 250 miles west of Mumbai. Interception and interrogation are required, with potential SSM engagement if any hostilities occur. The mission deadline is set at 72 hours for deployment; the fleet must choose a vessel capable of 24 knots and an operational endurance of 10 days (rational, fuel, and water desalination) to ensure successful operation against adverse weather conditions which may disrupt the mission.",Mission,Fleet,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"It has been ordered to sail despite ongoing annual maintenance procedures. The ship’s readiness for sea is within 24 hours of notice, with the workshop responsible (under new guidelines) for all necessary maintenance work and maintaining the ship' at best operational in accordance with updated timelines which means that it cannot exceed 20% deviation from workshop work quality.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"This comes as part of the ship’s annual maintenance period where orders to sail had been placed.Various routine tasks on various parts of its equipment were being carried out, and around two weeks in advance (the workshop has been given a directive to complete all necessary maintenance work and keep it seaworthy) Adherence to the newly established timelines means that work must be completed within 48 hours and work should not vary by more than 10%.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The satellite imagery displays an enemy vessel 210 miles northeast of Lakshadweep. Interception and interrogation are necessary, but hostile activity may require involvement. The mission must be completed within 70 hours. A suitable ship must have been deployed within the next 24 hours with a speed of 22 knots and an endurance of at least 7 days (provisions, fuel, and desalination systems).",Mission,Support,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"While in operation, INS Viraat has carried out comprehensive condition-based inspections of shock mounts for multiple pumps and gas turbines. Many shock mounting readings are close to exceeding the warning threshold at times. The ship is scheduled to sail within 24 hours and for an operational duration of 7 days. Replacement of these shockmounts is necessary to maintain mission reliability at 0.91.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
