Scenario,Category,Sub - mission,Criticality,Level,Action,Entity,From,Task Objective,Constraints,Objective function
"An unidentified missile has been detected on radar, approaching the fleet at high speed. Its trajectory indicates a possible direct impact. All defense systems must be activated immediately to intercept the threat.",Mission,Combat,High,Fleet,Identify,Ship,Fleet,"Interrogation and interception, Missile firing","Risk score, Capability, Speed, Ship class, Activity sequences, Fleet availability, Logistic time, Conformance, Endurance, Reliability","Minimum cost, Minimum time, Maximum conformance, Minimum downtime, Maximum availability, Minimum risk"
"A sailor has fallen overboard during rough weather conditions, with the ship traveling at high speed. Immediate recovery measures are essential to save the individual's life.",Mission,Humanitarian,High,Ship,Evaluate,Ship,Ships,Search and rescue,"Speed, Ship class, Risk score, Capability, Endurance, Fleet availability, Activity sequences, Conformance","Minimum risk, Minimum cost, Minimum time, Maximum conformance, Maximum availability"
"During an active patrol in hostile waters, the primary propulsion system has failed, leaving the ship vulnerable to enemy detection. Swift action is required to restore operational capabilities.",Mission,Combat,High,Ship,Evaluate,Ship,Ships,Interrogation and interception,"Capability, Risk score, Ship class, Activity sequences, Speed, Endurance, Reliability, Conformance","Minimum cost, Minimum risk, Maximum conformance, Minimum downtime, Minimum time"
"Smoke is emanating from the ammunition storage area, with the risk of an explosion increasing by the second. Rapid containment is critical to prevent a catastrophic incident.",Mission,Combat,High,Ship,Evaluate,Ship,Fleet,Interrogation and interception,"Risk score, Activity sequences, Capability, Speed, Conformance, Endurance, Ship class, Logistic time","Minimum time, Minimum cost, Maximum conformance"
"A torpedo has been launched from an enemy submarine, tracking towards the command vessel. Evasive maneuvers and countermeasures must be deployed without delay.",Mission,Combat,High,Ship,Evaluate,Ship,Ships,Interrogation and interception,"Capability, Risk score, Speed, Ship class, Endurance, Activity sequences, Conformance, Logistic time","Minimum time, Minimum cost, Maximum conformance, Minimum risk, Maximum availability, Minimum downtime"
A crew member has collapsed due to a suspected cardiac arrest during a long-duration deployment. Immediate medical intervention and possible evacuation are necessary to save their life.,Mission,Humanitarian,High,Ship,Evaluate,Ship,Ships,Search and rescue,"Risk score, Capability, Ship class, Endurance, Conformance, Logistic time, Activity sequences","Minimum cost, Minimum time, Minimum risk, Maximum conformance"
Communication systems have been jammed while the fleet is conducting a critical mission. Immediate action is needed to reestablish contact and avoid mission compromise.,Mission,Combat,High,Fleet,Evaluate,Ship,Fleet,"Interrogation and interception, Search and rescue","Risk score, Capability, Activity sequences, Ship class, Reliability, Endurance, Speed, Conformance, Fleet availability, Ration, Balancing loads, Logistic time, Fuel","Minimum time, Minimum cost, Minimum downtime, Maximum conformance, Minimum risk"
An unidentified vessel is on a collision course with the flagship and is not responding to radio warnings. Immediate action is required to alter the course and avoid impact.,Mission,Combat,High,Fleet,Evaluate,Ship,Fleet,Interrogation and interception,"Risk score, Capability, Ship class, Activity sequences, Endurance, Speed","Minimum risk, Minimum cost, Minimum time, Minimum downtime, Maximum availability"
"Multiple hostile aircraft have been detected on radar, closing in on the fleet at high speed. Immediate deployment of anti-aircraft defenses is essential.",Mission,Combat,High,Fleet,Evaluate,Ship,Fleet,Interrogation and interception,"Speed, Risk score, Capability, Ship class, Activity sequences, Endurance, Fleet availability, Conformance, Ration, Reliability, Logistic time","Minimum cost, Maximum conformance, Minimum time, Minimum risk, Maximum availability, Minimum downtime, Maximum reliability"
"A civilian vessel has sent a distress signal, reporting severe flooding and sinking during a storm. Immediate deployment of rescue boats and helicopters is necessary to save lives.",Mission,Humanitarian,High,Ship,Evaluate,Ship,Ships,Search and rescue,"Risk score, Capability, Ship class, Logistic time, Activity sequences, Endurance, Speed","Minimum cost, Minimum risk, Minimum time, Maximum conformance"
"A critical cybersecurity breach has been detected in the ship's navigation system, potentially compromising mission-critical data. Swift action is required to secure systems and prevent escalation.",Mission,Combat,High,Ship,Evaluate,Ship,Ships,Interrogation and interception,"Ship class, Risk score, Capability, Endurance, Speed, Fleet availability, Activity sequences, Conformance","Minimum cost, Minimum time, Minimum downtime, Maximum conformance"
An underwater mine has been spotted in the fleet's navigation path. Immediate course correction and mine disposal measures are necessary to prevent casualties.,Mission,Combat,High,Fleet,Evaluate,Ship,Fleet,Search and rescue,"Risk score, Capability, Ship class, Activity sequences, Endurance, Speed, Conformance, Logistic time, Reliability, Ration, Fleet availability","Minimum cost, Minimum risk, Minimum time, Minimum downtime, Maximum conformance"
