Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"INS Vikrant, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 36 hours and for an operational duration of 10 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.92.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Delhi, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 72 hours and for an operational duration of 5 days. Replacing these shock mounts is essential to uphold mission reliability at 0.88.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Vikramaditya, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Certain shock mount readings are approaching the warning threshold. The ship is set to sail within 24 hours and for an operational duration of 8 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.91.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kolkata, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. A number of shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 40 hours and for an operational duration of 6 days. Replacing these shock mounts is necessary to uphold mission reliability at 0.89.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Shivalik, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 60 hours and for an operational duration of 4 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.87.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Vikrant, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 30 hours and for an operational duration of 9 days. Replacing these shock mounts is essential to uphold mission reliability at 0.93.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Mumbai, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Certain shock mount readings are approaching the warning threshold. The ship is set to sail within 56 hours and for an operational duration of 3 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.90.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Chennai, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. A number of shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 20 hours and for an operational duration of 12 days. Replacing these shock mounts is necessary to uphold mission reliability at 0.94.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kochi, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 45 hours and for an operational duration of 7 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.86.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Viraat, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is set to sail within 28 hours and for an operational duration of 11 days. Replacing these shock mounts is essential to uphold mission reliability at 0.95.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Vikramaditya, amidst her operational cycle, has undergone condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are nearing the warning threshold. The ship is slated to set sail within 42 hours and for an operational duration of 6 days. Replacement of these shock mounts is crucial to maintain mission reliability at 0.92.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Chennai, during her operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are on the verge of surpassing the warning threshold. The ship is scheduled to sail within 54 hours and for an operational duration of 5 days. Replacement of these shock mounts is essential to uphold mission reliability at 0.89.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kolkata, amidst her operational cycle, has undergone meticulous condition-based inspections of shock mounts for various pumps and gas turbines. A multitude of shock mount readings are rapidly approaching the warning threshold. The ship is set to set sail within 36 hours and for an operational duration of 8 days. Replacing these shock mounts is critical to maintain mission reliability at 0.90.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Viraat, during her operational cycle, has conducted detailed condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are dangerously close to exceeding the warning threshold. The ship is slated to sail within 24 hours and for an operational duration of 7 days. Replacement of these shock mounts is imperative to uphold mission reliability at 0.91.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Mumbai, amidst her operational cycle, has undergone comprehensive condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold at an alarming rate. The ship is scheduled to sail within 30 hours and for an operational duration of 9 days. Replacing these shock mounts is essential to maintain mission reliability at 0.88.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Delhi, during her operational cycle, has conducted extensive condition-based inspections of shock mounts for various pumps and gas turbines. A variety of shock mount readings are on the brink of exceeding the warning threshold. The ship is set to sail within 48 hours and for an operational duration of 4 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.93.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Shivalik, amidst her operational cycle, has undergone thorough condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are rapidly approaching the warning threshold. The ship is slated to set sail within 60 hours and for an operational duration of 3 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.87.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kochi, during her operational cycle, has conducted meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are steadily nearing the warning threshold. The ship is scheduled to sail within 39 hours and for an operational duration of 10 days. Replacing these shock mounts is imperative to uphold mission reliability at 0.94.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Vikrant, amidst her operational cycle, has undergone detailed condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are rapidly approaching the warning threshold. The ship is set to set sail within 33 hours and for an operational duration of 11 days. Replacement of these shock mounts is essential to maintain mission reliability at 0.86.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kochi, during her operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are dangerously close to exceeding the warning threshold. The ship is scheduled to sail within 45 hours and for an operational duration of 6 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.95.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Viraat, during its operational cycle, has undergone detailed condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are nearing the warning threshold. The ship is scheduled to set sail within 27 hours for an operational duration of 8 days. Replacement of these shock mounts is paramount to maintain mission reliability at 0.91.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kolkata, amidst its operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are on the verge of surpassing the warning threshold. The ship is set to sail within 55 hours for an operational duration of 4 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.88.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Delhi, during its operational cycle, has undergone meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are rapidly approaching the warning threshold. The ship is scheduled to set sail within 38 hours for an operational duration of 7 days. Replacement of these shock mounts is essential to maintain mission reliability at 0.92.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Mumbai, amidst its operational cycle, has conducted detailed condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are dangerously close to exceeding the warning threshold. The ship is set to sail within 29 hours for an operational duration of 9 days. Replacing these shock mounts is critical to uphold mission reliability at 0.89.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kochi, during its operational cycle, has undergone comprehensive condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are rapidly approaching the warning threshold. The ship is scheduled to set sail within 42 hours for an operational duration of 6 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.90.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Shivalik, amidst its operational cycle, has conducted meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are steadily nearing the warning threshold. The ship is set to sail within 33 hours for an operational duration of 5 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.93.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
