Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The ship has been ordered to sail during the annual maintenance period wherein maintenance routines were being undertaken on various equipment. Workshop has been directed to finish the maintenance task and make the ship sea worthy within 48 hours of notice. In order to stick to the new promulgated timelines, the quality of work done by workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been ordered to sail during the annual maintenance period wherein maintenance routines were being undertaken on various equipment. The workshop has been directed to finish the maintenance task and make the ship seaworthy within 48 hours of notice. In order to stick to the new promulgated timelines, the quality of work done by the workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has received orders to sail. Various equipment maintenance routines were ongoing at the time. The workshop has been given a directive to complete the maintenance tasks and ensure the ship is seaworthy within 48 hours of notice. Adherence to the newly established timelines requires that the quality of work performed by the workshop does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, the ship has been mandated to sail. Maintenance routines for various equipment were being executed. The workshop has been tasked with completing the maintenance assignments and ensuring the ship is seaworthy within 48 hours of notice. To adhere to the newly established timelines, the quality of work performed by the workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"While undergoing annual maintenance, the ship has been given orders to sail. Maintenance routines for various equipment were ongoing during this period. The workshop has been directed to finalize the maintenance tasks and guarantee the ship's seaworthiness within 48 hours of notice. Compliance with the newly enforced timelines necessitates that the workshop's work quality does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been instructed to sail amidst the annual maintenance period, during which maintenance routines for various equipment were in progress. The workshop has been given the task of completing the maintenance assignments and ensuring the ship is seaworthy within 48 hours of notice. To meet the new timelines, the workshop must ensure that the quality of work does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, orders have been issued for the ship to sail. Maintenance routines for various equipment were underway at the time. The workshop has been tasked with completing the maintenance tasks and ensuring the ship's seaworthiness within 48 hours of notice. Adhering to the newly introduced timelines requires that the quality of work performed by the workshop maintains a deviation of no more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been mandated to sail during the annual maintenance period, amidst ongoing maintenance routines for various equipment. The workshop has received instructions to finalize the maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. To comply with the newly implemented timelines, the workshop must ensure that the quality of work performed does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has been ordered to set sail while various equipment maintenance routines were being carried out. The workshop has been directed to complete the maintenance tasks and ensure the ship is seaworthy within 48 hours of notice. To meet the new timelines, the workshop must maintain a work quality deviation of no more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been directed to sail during the annual maintenance period, amidst ongoing maintenance routines for various equipment. The workshop has been instructed to complete the maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. Adhering to the newly established timelines requires that the quality of work performed by the workshop does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
