Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"Satellite images reveal an enemy ship at location K, around 300 miles northwest of its home base. We're gearing up to intercept and investigate, prepared to use missiles if necessary. The mission is scheduled within the next 48 hours, prompting the deployment of a suitable ship within the next 24 hours. The chosen vessel should have a speed of 25 knots, including operational propulsion and PGD systems. It must ensure an endurance of at least 7 days, encompassing supplies such as rations, fuel, and a Reverse Osmosis (RO) plant for freshwater. Further details about specific ship requirements and potential threats are currently being assessed.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Based on satellite images, we've detected an adversary ship at location K, approximately 300 miles northwest of its home base. Our response involves intercepting and investigating, with a readiness to use missiles if required. The mission is slated for the next 48 hours, necessitating the deployment of an apt vessel within the coming 24 hours. The selected ship should maintain a speed of 25 knots, equipped with operational propulsion systems. It must also guarantee an endurance of at least 7 days, encompassing essential supplies like rations, fuel, and a Reverse Osmosis (RO) plant for freshwater. Further examination of specific ship requirements and potential threats is currently underway.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite images depict an adversary ship at location K, situated 300 miles northwest of our base. Intercepting and interrogating the ship is imperative. Engagement with SSMs might be necessary in the event of hostility. The mission must be completed within the next 48 hours. Deployment of a suitable ship by the fleet is required within the next 24 hours. The ship must maintain a speed of 25 knots, with operational propulsion and PGD systems, and an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary vessel has been detected via satellite imagery, navigating at location K, approximately 300 miles northwest of our base. Intercepting and investigating the vessel is of utmost importance. If the situation escalates, engagement with SSMs might be necessary. The mission is scheduled for completion within the next 48 hours, requiring the deployment of a suitable ship within the next 24 hours. The selected ship must travel at a speed of 25 knots, with fully operational propulsion and PGD systems, and an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite surveillance has identified an adversary ship at location K, situated 300 miles northwest of our base. Intercepting and interrogating the vessel is necessary. If hostile actions occur, engagement with SSMs may be required. The mission's completion is expected within the next 48 hours, prompting the fleet to deploy a suitable ship within the next 24 hours. The chosen vessel must maintain a speed of 25 knots, equipped with operational propulsion and PGD systems, and possess an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"A hostile ship has been detected through satellite imagery, navigating at location K, around 300 miles northwest of our base. Intercepting and interrogating the ship is essential. In case of hostility, engagement with SSMs may be necessary. The mission must be executed within the next 48 hours, requiring the fleet to deploy a suitable ship within the next 24 hours. The selected ship must travel at a speed of 25 knots, equipped with operational propulsion and PGD systems, and maintain an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite surveillance has identified an adversary ship at location K, positioned approximately 300 miles northwest of our base. Intercepting and interrogating the ship is imperative. If necessary, engagement with SSMs might be required. The mission's completion is slated within the next 48 hours, necessitating the deployment of a suitable ship within the next 24 hours. The chosen vessel must operate at a speed of 25 knots, equipped with fully functional propulsion and PGD systems, and have an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary ship has been identified via satellite images, navigating at location K, approximately 300 miles northwest of our base. Intercepting and interrogating the vessel is a critical mission. Engagement with SSMs may be necessary in case of hostility. The mission's deadline is within the next 48 hours, prompting the fleet to deploy a suitable ship within the next 24 hours. The chosen vessel must travel at a speed of 25 knots, equipped with operational propulsion and PGD systems, and possess an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite surveillance has detected an adversary ship at location K, situated approximately 300 miles northwest of our base. Intercepting and interrogating the vessel is vital. Engagement with SSMs may be necessary in hostile situations. The mission's deadline is within the next 48 hours, requiring the fleet to deploy a suitable ship within the next 24 hours. The selected vessel must travel at a speed of 25 knots, equipped with operational propulsion and PGD systems, and have an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"A hostile ship has been detected via satellite imagery, sailing at location K, approximately 300 miles northwest of our base. Intercepting and interrogating the vessel is paramount. In case of hostility, engagement with SSMs may be necessary. The mission's completion is required within the next 48 hours, prompting the fleet to deploy a suitable ship within the next 24 hours. The chosen vessel must operate at a speed of 25 knots, equipped with fully functional propulsion and PGD systems, and maintain an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
