Scenario
"INS Vikrant, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 36 hours and for an operational duration of 10 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.92."
"INS Delhi, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 72 hours and for an operational duration of 5 days. Replacing these shock mounts is essential to uphold mission reliability at 0.88."
"INS Vikramaditya, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Certain shock mount readings are approaching the warning threshold. The ship is set to sail within 24 hours and for an operational duration of 8 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.91."
"INS Kolkata, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. A number of shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 40 hours and for an operational duration of 6 days. Replacing these shock mounts is necessary to uphold mission reliability at 0.89."
"INS Shivalik, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 60 hours and for an operational duration of 4 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.87."
"INS Vikrant, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 30 hours and for an operational duration of 9 days. Replacing these shock mounts is essential to uphold mission reliability at 0.93."
"INS Mumbai, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Certain shock mount readings are approaching the warning threshold. The ship is set to sail within 56 hours and for an operational duration of 3 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.90."
"INS Chennai, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. A number of shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 20 hours and for an operational duration of 12 days. Replacing these shock mounts is necessary to uphold mission reliability at 0.94."
"INS Kochi, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 45 hours and for an operational duration of 7 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.86."
"INS Viraat, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is set to sail within 28 hours and for an operational duration of 11 days. Replacing these shock mounts is essential to uphold mission reliability at 0.95."
"INS Vikramaditya, amidst her operational cycle, has undergone condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are nearing the warning threshold. The ship is slated to set sail within 42 hours and for an operational duration of 6 days. Replacement of these shock mounts is crucial to maintain mission reliability at 0.92."
"INS Chennai, during her operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are on the verge of surpassing the warning threshold. The ship is scheduled to sail within 54 hours and for an operational duration of 5 days. Replacement of these shock mounts is essential to uphold mission reliability at 0.89."
"INS Kolkata, amidst her operational cycle, has undergone meticulous condition-based inspections of shock mounts for various pumps and gas turbines. A multitude of shock mount readings are rapidly approaching the warning threshold. The ship is set to set sail within 36 hours and for an operational duration of 8 days. Replacing these shock mounts is critical to maintain mission reliability at 0.90."
"INS Viraat, during her operational cycle, has conducted detailed condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are dangerously close to exceeding the warning threshold. The ship is slated to sail within 24 hours and for an operational duration of 7 days. Replacement of these shock mounts is imperative to uphold mission reliability at 0.91."
