Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The ship has been ordered to sail during the annual maintenance period wherein maintenance routines were being undertaken on various equipment. The workshop has been directed to finish the maintenance task and make the ship seaworthy within 48 hours of notice. In order to stick to the new promulgated timelines, the quality of work done by the workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has received orders to sail. Various equipment maintenance routines were ongoing at the time. The workshop has been given a directive to complete the maintenance tasks and ensure the ship is seaworthy within 48 hours of notice. Adherence to the newly established timelines requires that the quality of work performed by the workshop does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, the ship has been instructed to set sail. Maintenance routines for various equipment were in progress. The workshop has been directed to conclude the maintenance tasks and guarantee the ship's seaworthiness within 48 hours of notice. To meet the new timelines, the workshop must ensure that the quality of work does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been mandated to sail during the annual maintenance period, during which maintenance routines for various equipment were being executed. The workshop has been tasked with completing the maintenance assignments and ensuring the ship is seaworthy within 48 hours of notice. To adhere to the newly established timelines, the quality of work performed by the workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"While undergoing annual maintenance, the ship has been given orders to sail. Maintenance routines for various equipment were ongoing during this period. The workshop has been directed to finalize the maintenance tasks and guarantee the ship's seaworthiness within 48 hours of notice. Compliance with the newly enforced timelines necessitates that the workshop's work quality does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been instructed to sail amidst the annual maintenance period, during which maintenance routines for various equipment were in progress. The workshop has been given the task of completing the maintenance assignments and ensuring the ship is seaworthy within 48 hours of notice. To meet the new timelines, the workshop must ensure that the quality of work does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, orders have been issued for the ship to sail. Maintenance routines for various equipment were underway at the time. The workshop has been tasked with completing the maintenance tasks and ensuring the ship's seaworthiness within 48 hours of notice. Adhering to the newly introduced timelines requires that the quality of work performed by the workshop maintains a deviation of no more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been mandated to sail during the annual maintenance period, amidst ongoing maintenance routines for various equipment. The workshop has received instructions to finalize the maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. To comply with the newly implemented timelines, the workshop must ensure that the quality of work performed does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has been ordered to set sail while various equipment maintenance routines were being carried out. The workshop has been directed to complete the maintenance tasks and ensure the ship is seaworthy within 48 hours of notice. To meet the new timelines, the workshop must maintain a work quality deviation of no more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been directed to sail during the annual maintenance period, amidst ongoing maintenance routines for various equipment. The workshop has been instructed to complete the maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. Adhering to the newly established timelines requires that the quality of work performed by the workshop does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been tasked to sail amidst the annual maintenance period, while various equipment undergoes maintenance routines. The workshop has been instructed to complete maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. To adhere to the new promulgated timelines, the quality of work done by the workshop must not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the vessel has been ordered to set sail. The workshop has received directives to finalize maintenance tasks and certify the ship's seaworthiness within 36 hours of notice. In order to adhere to the newly established timelines, the workshop's work quality must not deviate by more than 12%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance phase, the ship has been instructed to commence sailing. The workshop has been mandated to expedite maintenance operations and certify the ship as seaworthy within 72 hours of notification. To meet the updated deadlines, the workshop's work quality should not deviate by more than 8%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite the ongoing annual maintenance procedures, the ship has been commanded to sail. The workshop has been tasked with completing maintenance duties and ensuring the ship's readiness for sea within 24 hours of notice. Maintaining the new timelines, the workshop's work quality must not deviate by more than 20%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"In the midst of annual maintenance activities, the ship has been directed to proceed with its voyage. The workshop has been given the task to complete maintenance assignments and ensure the ship's readiness for sea within 60 hours of notification. Adhering to the revised schedules, the workshop's work quality should not deviate by more than 5%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite the ongoing annual maintenance period, the ship has been ordered to sail. The workshop has been entrusted with finalizing maintenance duties and certifying the ship's seaworthiness within 30 hours of notice. To comply with the updated timelines, the workshop's work quality must not deviate by more than 18%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance procedures, the ship has received orders to sail. The workshop has been instructed to expedite maintenance tasks and ensure the ship's readiness for sea within 48 hours of notice. To meet the newly established deadlines, the workshop's work quality should not deviate by more than 13%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance tasks, the ship has been directed to set sail. The workshop has been tasked with finalizing maintenance operations and ensuring the ship's seaworthiness within 72 hours of notification. To maintain the new timelines, the workshop's work quality must not deviate by more than 7%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite the ongoing annual maintenance phase, the ship has been commanded to sail. The workshop has been mandated to complete maintenance assignments and certify the ship's seaworthiness within 48 hours of notice. To adhere to the revised schedules, the workshop's work quality should not deviate by more than 16%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"In the midst of annual maintenance activities, the ship has been directed to proceed with its voyage. The workshop has been given the task to expedite maintenance assignments and ensure the ship's readiness for sea within 48 hours of notification. Adhering to the updated timelines, the workshop's work quality must not deviate by more than 9%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
