Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"According to satellite data, an enemy ship is detected about 250 miles southwest of Chennai. It needs to be intercepted and interrogated. If the adversary acts aggressively, the use of SSMs may be required. The mission needs to be carried out within 36 hours. The fleet has 18 hours to deploy an appropriate vessel. The vessel should maintain a speed of 22 knots and have an endurance of no less than 9 days (including necessary supplies and fuel).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite reconnaissance has identified an adversary ship 180 miles east of Visakhapatnam. This vessel must be intercepted and examined. Engagement with SSMs might be necessary if hostile actions are detected. The operation must be conducted within the next 60 hours. A suitable ship must be deployed within the next 15 hours. The vessel should be able to reach a speed of 23 knots and sustain an endurance of at least 8 days (provisions, fuel, and desalination equipment).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite images reveal an enemy ship positioned approximately 220 miles west of Goa. The ship needs to be intercepted and interrogated. Hostile behavior may necessitate the use of SSMs. This mission is to be executed within the next 48 hours. The fleet must dispatch an appropriate vessel within the next 20 hours. The ship should be capable of achieving a speed of 24 knots and have an endurance of a minimum of 7 days (including rations, fuel, and desalination systems).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary ship has been spotted via satellite about 150 miles northeast of Kanyakumari. The vessel needs to be intercepted and questioned. Engagement using SSMs may be required if hostile actions occur. The mission must be completed within the next 40 hours. A suitable vessel must be deployed within the next 10 hours. The chosen ship should have a speed of 26 knots and an endurance of at least 6 days (provisions, fuel, and desalination plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite surveillance indicates an enemy ship is at 230 miles south of Kochi. Interception and interrogation are required. If the vessel shows hostile intent, SSM engagement may be necessary. The mission must be carried out within the next 54 hours. A suitable ship must be dispatched within the next 14 hours. The vessel should have a speed of 21 knots and an endurance of at least 11 days (rations, fuel, desalination plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An enemy vessel has been located by satellite at 170 miles northwest of the Andaman Islands. Interception and interrogation are necessary. Hostile actions may warrant the use of SSMs. This mission must be completed in the next 50 hours. A suitable ship must be deployed within the next 16 hours. The ship should be capable of a speed of 27 knots and have an endurance of no less than 8 days (provisions, fuel, desalination systems).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite data reveals an adversary ship 190 miles south of Paradip. The vessel must be intercepted and questioned. If hostile behavior is observed, engagement using SSMs may be required. The mission is to be executed within the next 66 hours. A suitable ship must be dispatched within the next 22 hours. The ship should be able to maintain a speed of 28 knots and have an endurance of at least 10 days (rations, fuel, desalination plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary vessel has been spotted via satellite about 160 miles west of Diu. It needs to be intercepted and interrogated. Hostile activity may necessitate the use of SSMs. The mission must be completed within the next 42 hours. A suitable vessel must be dispatched within the next 18 hours. The chosen ship should have a speed of 25 knots and an endurance of no less than 9 days (provisions, fuel, desalination systems).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite imagery shows an enemy ship 210 miles northeast of Lakshadweep. Interception and interrogation are required. Engagement with SSMs may be necessary if hostile actions are detected. The mission must be carried out within the next 70 hours. A suitable ship must be deployed within the next 24 hours. The vessel should be capable of a speed of 22 knots and have an endurance of at least 7 days (provisions, fuel, and desalination systems).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Intelligence reports indicate an adversary vessel currently 200 miles northeast of Port Blair, Andaman Islands. The Indian Navy must intercept and question this ship, preparing for potential engagement with SSMs if hostility is detected. This operation needs to be executed within the next 48 hours, requiring a suitable ship to be deployed within the next 12 hours. The chosen vessel must achieve a speed of 26 knots and sustain operations for at least 8 days, with provisions, fuel, and desalination capabilities. The weather conditions in the area are expected to be challenging, adding complexity to the mission.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
