Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The ship has been commanded to depart during the annual maintenance period, during which various equipment was being used to maintain the vessel. The workshop has also been instructed to complete the maintenance work and make the ship seaworthy within 48 hours of notification. To adhere to the new timelines, the workshop's work must not vary by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The vessel is scheduled to depart during the annual maintenance period, during which various equipment was being used to maintain the ship. The workshop has been instructed to complete the maintenance work and make the boat seaworthy within 48 hours of notification. To adhere to the new timelines, the workshop's work must not vary by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"To ensure compliance with the new timelines, any maintenance work done on the ship must not exceed 10%. The workshop has been instructed to complete the maintenance task and make the vessel seaworthy within 48 hours of notification.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, where various equipment was being used to maintain the ship, it has been instructed to sail within 48 hours. To comply with new timelines, the workshop must perform maintenance at a rate of no more than 10% of the total work done in accordance with the updated timeline and adhere to the revised schedule.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"It has been ordered to sail at the time of the annual maintenance period when various types of equipment are being used for maintenance; and the ship’s workshop has also been given a notice informing the workshop that it will complete its maintenance work and be seaworthy within 48 hours, so that the quality of work done by the workshops is no more than 10% deviation to respect new promulgated timelines.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"A notice was given that the ship would be sailing during the annual maintenance period, during which various equipment was being used to maintain its condition. The workshop was directed by this deadline to complete the maintenance work and make the vessel seaworthy within 48 hours. To comply with the new timelines, it is essential to ensure that quality of work done by the workshop does not vary more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"In order to comply with newly established timelines, the ship must sail during its annual maintenance period, during which various equipment is being used to maintain the vessel. The workshop has been instructed to complete all maintenance tasks within 48 hours of notification. To meet this standard, only 10% of the work done by the workshop should vary.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"He has instructed that the ship be able to sail during its annual maintenance period, during which different equipment is being used to maintain it. The workshop has been given a 48-hour deadline to complete their maintenance and make it seaworthy within 48 hours. To comply with new timelines, however, the quality of work done by the workshop must not vary more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"An annual maintenance period has been assigned to the ship, during which various equipment is being used to maintain its condition. The workshop has also received orders within 48 hours of notification to complete their maintenance tasks and make the vessel seaworthy; however, in order to adhere to newly established timelines (new work), quality of work done by workshop must not vary more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"This means that the ship is expected to sail during its annual maintenance period, when routine maintenance on various types of equipment is being carried out and it has been ordered that ""within 48 hours"" or less will be required for the workshop to complete all necessary maintenance tasks and render the vessel seaworthy within stipulated timelines, so that work does not exceed 10% quality in accordance with new guidelines.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
The ship has been notified to sail during the annual maintenance period. There were ongoing equipment maintenance routines. The workshop has received instructions to complete the maintenance tasks and make the ship seaworthy within 48 hours. Adherence to the newly established timelines requires that the quality of work performed by the workshop does not vary by more than 10%.,Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship is set to sail during the annual maintenance period. During this time, various equipment maintenance routines were being performed. The workshop has been instructed to complete the maintenance tasks and make the ship seaworthy within 48 hours of notification. Adherence to newly established timelines requires that the quality of work performed by the workshop does not vary by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has been ordered to sail. The workshop has also been instructed to complete various equipment maintenance routines and ensure the vessel is seaworthy within 48 hours. Adherence to newly established timelines requires that work performed by the workshop does not exceed 10% in quality.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the year-long annual maintenance period, the ship has been ordered to sail. The workshop has also been instructed to complete various equipment maintenance tasks and ensure the vessel is seaworthy within 48 hours. Adherence to the newly established timelines requires that work performed by the workshop does not exceed 10% in quality.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Within the year of the annual maintenance period, orders have been placed to set sail. Various equipment maintenance activities were ongoing at the same time. The workshop has been instructed by the manufacturer to complete the maintenance tasks and make the ship seaworthy within 48 hours of notification. Adherence to newly established timelines requires that work performed by those in the workshop does not vary by more than 10% or more.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Orders have been issued for the ship to sail during the annual maintenance period, which included multiple equipment routine operations. The workshop has been instructed to carry out the necessary maintenance tasks and maintain it seaworthy within 48 hours. Adherence to the newly established timelines requires that work performed by these workshops does not differ more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"This comes as part of the ship’s annual maintenance period where orders to sail had been placed.Various routine tasks on various parts of its equipment were being carried out, and around two weeks in advance (the workshop has been given a directive to complete all necessary maintenance work and keep it seaworthy) Adherence to the newly established timelines means that work must be completed within 48 hours and work should not vary by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"It has been ordered to sail as part of annual maintenance period, with various kinds of equipment up-and-down routines, and the workshop has received a directive to complete these tasks themselves within 48 hours of notice so that their ship is seaworthy (the new schedule for maintenance) This requires compliance with newly established timelines whereby work performed by workshop members will not exceed 10% quality.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Ship is now sea ready - during the year-long (3-5 weeks) annual maintenance period, orders were placed to continue working alongside various types of equipment. The workshop has been instructed by us that we must complete these maintenance tasks within 48 hours and ensure the ship is sea-ready within this timeframe. Adherence newly established timelines require that work performed by the workshop does not differ more than 10% in quality or deviation.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
