Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The fleet has to plan a refit of ships and submarines at the annual conference. There are two dry docks available, and only three vessels should be refits simultaneously. Memorandums of understanding (MoMs) will be released within ten days, prioritizing the vessels. Repair workshops must maintain at least 80% manpower during refITS. Spare parts for equipment overhauls will arrive two months before the reffit starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"A plan for the refit of ships and submarines must be scheduled by fleet at upcoming annual conference with two dry docks available, though only three vessels should be refits simultaneously; Memorandums of understanding (MoMs) will be published within a week placing emphasis on focus on the vessels while maintaining at least 80% manpower during reffitting and delivery of spare parts for equipment overhauls to be completed two months before the start of the process.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"At the annual conference, it is imperative that the fleet plan their refit plans for ships and submarines. The refits should be conducted in two dry docks, with no more than three vessels allowed to undergo them simultaneously. Memorandums of understanding (MoMs) will be published within a week, prioritizing the vessels. Repair workshops must maintain at least 80% manpower during refITS. Spare parts für equipment overhauls will need to be delivered two months before the reffit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"In preparation for the annual conference, the fleet must plan a refit of ships and submarines. There are two dry dock facilities available, and only three vessels should be refits at any given time. Memorandums of understanding (MoM) will become public within one week, prioritizing the vessels. Repair workshops must maintain at least 80% manpower during refITS. Spare parts for equipment overhauls will be delivered two months before the reffit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Following this year's annual conference, the fleet must establish a schedule for ship refits including those of submarine and ships. There are two dry docks available but it is not possible to do so all at once; instead, three vessels should be refitted simultaneously with emphasis on the vessels. Memorandums of understanding (MoMs) will be published within one week, prioritizing the vessel(S) and maintaining an 80% manpower during Refits while in repair workshops. Spare parts for overhauls will need to be delivered two months before the reffitting.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"At the annual conference, the fleet must plan a refit of ships and submarines; there should be no more than three vessels at reit time, and two dry docks are available. Memorandums of understanding (MoMs) will be published within equivalence – which states that the most important item on the list would be those of the vessels being refits: (1) Repair workshops need to maintain at least 80% manpower during refITS; (2) Spare parts for overhauls given to equipment overhauling process one-monthly deadline.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"During the annual conference, the fleet must plan for the refit of ships and submarines using two dry docks. The refits should be completed simultaneously with no more than three vessels; memorandums of understanding (MoMS) to commence within one week will focus on the vessels while maintaining at least 80% manpower during refITS; equipment overhauls shall be carried out by suppliers who deliver spare parts two months before the start of each reffit.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To schedule a scheduled refit of ships and submarines, the fleet must have two dry docks available; no more than three vessels may be refits simultaneously; within ten days MoMs will be published with priority given to the vessels; at least 80% manpower must remain on the reffitting plant during refITS and spare parts should be delivered by two months before the start of the process.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The annual conference calls for the refit of ships and submarines to be scheduled by the fleet. There are two dry dock facilities available, and no more than three vessels should be refits at once; memorandum opportunists (MoMs) will be released within a week prior to the vessel refITS; repair workshops must maintain at least 80% manpower during reffitting and provide spare parts for overhauls on board two months before the work commences.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"A plan must be agreed upon by the fleet at the annual conference for the refit of ships and submarines. There are two dry docks available, and no more than three vessels should be refits at once. Memorandum(en) focuses on the vessels; repair workshops maintain at least 80 workers per refITS; equipment overhauls occur 2 months after the start of each reffit.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
