Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The ship has been ordered to sail during the annual maintenance period wherein maintenance routines were being undertaken on various equipment. Workshop has been directed to finish the maintenance task and make the ship sea worthy within 48 hours of notice. In order to stick to the new promulgated timelines, the quality of work done by workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, the ship has been mandated to sail. Maintenance routines for various equipment were being executed. The workshop has been tasked with completing the maintenance assignments and ensuring the ship is seaworthy within 48 hours of notice. To adhere to the newly established timelines, the quality of work performed by the workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
The ship is scheduled for sailing amidst ongoing annual maintenance. Various equipment maintenance routines are in progress. The workshop has been tasked to complete maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. The quality of work should not deviate more than 10% to adhere to the new timelines.,Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance, the ship has received orders to sail. The workshop is directed to complete maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. Adherence to the new timelines requires maintaining the quality of work within a 10% deviation.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
The ship's sailing schedule coincides with ongoing annual maintenance activities. The workshop must ensure maintenance tasks are completed within 48 hours of notice to maintain the ship's seaworthiness. Quality control measures must be implemented to limit deviations to 10% from the new timelines.,Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has been directed to sail. The workshop is tasked with completing maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. Maintaining work quality within a 10% deviation is crucial to meet the new timelines.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
The ship has been ordered to sail during ongoing annual maintenance. The workshop must complete maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. It is imperative to limit deviations in work quality to 10% to adhere to the new timelines.,Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance, the ship has been directed to sail. The workshop must complete maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. Adherence to the new timelines requires controlling deviations in work quality within 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
The ship is scheduled to sail during ongoing annual maintenance activities. The workshop is tasked with completing maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. Strict quality control measures are necessary to limit deviations to 10%.,Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During ongoing annual maintenance, orders have been issued for the ship to sail. The workshop must complete maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. Maintaining work quality within a 10% deviation is essential to meet the new timelines.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
The ship has been directed to sail amidst ongoing annual maintenance activities. The workshop must complete maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. It is imperative to limit deviations in work quality to 10% to adhere to the new timelines.,Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance, orders have been issued for the ship to sail. The workshop is tasked with completing maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. Adherence to the new timelines requires controlling deviations in work quality within 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
The ship is scheduled for sailing during ongoing annual maintenance. The workshop must complete maintenance tasks within 48 hours of notice to ensure the ship's seaworthiness. Strict quality control measures are necessary to limit deviations to 10%.,Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"This is to ensure the ship can be sailed during the annual maintenance period when various types of equipment are being used for maintenance, as per guidelines set by The Post. To adhere to these new timelines, the quality of work done by workshop must not exceed 10% and the vessel should remain seaworthy within 48 hours of notice (for example, in case of an unplanned accident).",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
